question,weightage_1,weightage_2,weightage_3,weightage_4,weightage_5,average_percent
How much of the syllabus was covered in the class?,0,0,1,0,0,3.00 / 60.00
How well did the teachers prepare for the classes?,0,0,0,0,1,5.00 / 100.00
How well were the teachers able to communicate?,0,0,0,0,1,5.00 / 100.00
The teachers approach to teaching can best be described as,0,0,1,0,0,3.00 / 60.00
Fairness of the internal evaluation process by the teachers.,0,0,0,1,0,4.00 / 80.00
Was your performance in assignments discussed with you?,0,0,0,1,0,4.00 / 80.00
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,1,0,0,3.00 / 60.00
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,1,0,0,0,2.00 / 40.00
The institution provides multiple opportunities to learn and grow.,0,0,0,1,0,4.00 / 80.00
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,1,0,0,3.00 / 60.00
Your mentor does a necessary follow-up with an assigned task to you.,0,0,1,0,0,3.00 / 60.00
The teachers illustrate the concepts through examples and applications.,0,0,0,0,1,5.00 / 100.00
The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,1,0,0,0,2.00 / 40.00
Teachers are able to identify your weaknesses and help you to overcome them.,0,0,1,0,0,3.00 / 60.00
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,1,0,0,3.00 / 60.00
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,1,0,0,3.00 / 60.00
Teachers encourage you to participate in extracurricular activities.,0,0,0,1,0,4.00 / 80.00
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,0,0,0,2.00 / 40.00
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,0,1,0,4.00 / 80.00
The overall quality of the teaching-learning process in your institute is very good.,0,0,1,0,0,3.00 / 60.00
How much of the syllabus was covered in the class?,0,0,0,0,1,5.00 / 100.00
How well did the teachers prepare for the classes?,0,0,0,0,1,5.00 / 100.00
